,data,text,sentiment,stats,links
42,https://twitter.com/Mutari_Bia/status/1744786795076657309#m,Na ati CS wa maji alikuwa wa huko na mnategemea EABL,,"Jan 9, 2024 · 6:22 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
46,https://twitter.com/martin_marto1/status/1744771774846304451#m,EABL will do what they do best in such scenario remember what they did to Tabitha,,"Jan 9, 2024 · 5:23 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 4}"
47,https://twitter.com/eabl81/status/1744770837042127099#m,Thanks so much for the mention!,,"Jan 9, 2024 · 5:19 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 4}"
48,https://twitter.com/Teeshasmom2/status/1744708817856671802#m,296FB 🖐 I'm Followin U & I'm full Blue DEM Resister Please 👣 Me & RESISTERs Listd Here 2 💙 @Dwillsmom @DWPippy @DyanSohn @eabl81 @EarthGirlPaula @EasterLemming @EBArwen @edafowlergmaic1 @Eholloma @eileengo1 @ekatadevine @elegantelaine @Eli68770066 @elseagee @Emarie110265 🔁,,"Jan 9, 2024 · 1:12 PM UTC","{'comments': 6, 'retweets': 4, 'quotes': 0, 'likes': 11}"
49,https://twitter.com/theglobalvc/status/1744767868607058095#m,".@IngrahamAngle What would you say to the claim, ""The Fox folks thought hiring blondes was more important than hiring excellence.""",,"Jan 9, 2024 · 5:07 PM UTC","{'comments': 1, 'retweets': 3, 'quotes': 0, 'likes': 21}"
50,https://twitter.com/Notbl4ncos/status/1744762729955520592#m,Huwa mnafikiria EABL ni kibanda lmao 😂😂,,"Jan 9, 2024 · 4:47 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
51,https://twitter.com/caroljwalker/status/1744366232831209850#m,"A beautiful Sable Island stallion this fall when I visited Sable Island was curious but unafraid as we walked by me with his family. Those long tangled, windswept manes are so amazing. https://livingimagescarolwalker.artstorefronts.com/warehouse/art_print_products/carolwalkersableislandstallionwalkingclose?product_gallery=67799&product_id=6804128 #wildhorses",,"Jan 8, 2024 · 2:31 PM UTC","{'comments': 2, 'retweets': 18, 'quotes': 0, 'likes': 64}"
52,https://twitter.com/defendhorsescan/status/1744484703745302633#m,Eight days into the New Year and flights carrying horses to Japan for slaughter have already begun. More are planned! Please send the letter at horseshit.ca to your MP asking them to support Bill C-355  @TPoet1973 #KoreanAir #EdmontonAirport https://youtu.be/b-eqHzwsJEA?si=4oxevoWYDjOIqYm7,,"Jan 8, 2024 · 10:22 PM UTC","{'comments': 7, 'retweets': 42, 'quotes': 4, 'likes': 45}"
53,https://twitter.com/FreeWildHorses/status/1744432587718934712#m,"This foal (mentioned in previous post) was put down on Jan. 6th for a dislocated right front knee. The injury was recorded as ""acute,"" by the BLM, meaning it was sustained during the roundup. As of yesterday, 866 wild horses have been captured, and the death toll stands at 11.",,"Jan 8, 2024 · 6:55 PM UTC","{'comments': 17, 'retweets': 85, 'quotes': 13, 'likes': 66}"
54,https://twitter.com/ettie_Jey/status/1744749675872178457#m,"Aaargh, my only vice is alcohol coz I'm not a fan of carbs and sugar.... without EABL I'd a fit babe 😂😂😂😂",,"Jan 9, 2024 · 3:55 PM UTC","{'comments': 2, 'retweets': 0, 'quotes': 0, 'likes': 1}"
55,https://twitter.com/obaithibutu/status/1744724838722458084#m,At 10% v/v it's too strong to rival mainstream brands at EABL with Guinness at 6.5% and others below. Highly unlikely.,,"Jan 9, 2024 · 2:16 PM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 6}"
56,https://twitter.com/LemayianLeiyan/status/1744718071632384209#m,KO sasa Mura Tatu 😂😂 EABL wamebaki kwa ndimu,,"Jan 9, 2024 · 1:49 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}"
57,https://twitter.com/theKiabu/status/1744624917394452929#m,Gov. Rotich achenge tu industrial park then lease to EABL. naona kuna talents huku - kutengeneza kuuza kukunywa #talantaHela,,"Jan 9, 2024 · 7:39 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}"
58,https://twitter.com/iamWekesa/status/1744608213243216164#m,so eabl should sponsor rugby but not sell their products?,,"Jan 9, 2024 · 6:33 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
59,https://twitter.com/BGakunju/status/1744605191830127033#m,That's how we pay for rugby in this country - EABL and other sponsors. Fire yourself if you don't have any good ideas!,,"Jan 9, 2024 · 6:21 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
60,https://twitter.com/eabl81/status/1744601777801212354#m,And those eyes - positively road maps half the time!,,"Jan 9, 2024 · 6:07 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}"
61,https://twitter.com/eabl81/status/1744601397767888957#m,"Sad, but very true!",,"Jan 9, 2024 · 6:06 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}"
62,https://twitter.com/eabl81/status/1744600794303721601#m,"Remember that the next time you're tempted to help with an insurrection, Andy",,"Jan 9, 2024 · 6:03 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
63,https://twitter.com/platford11/status/1744517023969738882#m,Ewan Platford 6”4 Shooting Guard/Point Guard 6”6 Wingspan 36”vertical  3.4gpa NextUpRecruitment Top 40 recruit Played in the EABL(🇬🇧) 10ppg 5.2rpg 2.5apg 2.2steals 0.5blocks 35% from 3,,"Jan 9, 2024 · 12:30 AM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 1}"
64,https://twitter.com/eabl81/status/1744556629696401704#m,"Your turn is coming, Andy... Too bad you didn't get that pardon you asked for.",,"Jan 9, 2024 · 3:08 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
65,https://twitter.com/eabl81/status/1744555705565335966#m,Nice guy. Trying to grift off her death.,,"Jan 9, 2024 · 3:04 AM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1}"
66,https://twitter.com/eabl81/status/1744552930366329073#m,I think he's lying! How else can he pay all those tuition bills he was going on about?,,"Jan 9, 2024 · 2:53 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
67,https://twitter.com/eabl81/status/1744550234766848201#m,"Says the woman who thinks the civil war ""...was basically how government was going to run, the freedoms and what people could and couldn’t do."" I think Biden's speech was perfectly appropriate.",,"Jan 9, 2024 · 2:42 AM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 2}"
68,https://twitter.com/eabl81/status/1744548792664473648#m,"So, Daddy rambles on for an hour, two hours..."" and Biden is always very ""concise."" An Jr thinks Joe has the drug problem?",,"Jan 9, 2024 · 2:36 AM UTC","{'comments': 1, 'retweets': 2, 'quotes': 0, 'likes': 5}"
69,https://twitter.com/eabl81/status/1744547516673401119#m,So how does he pay all that tuition if he doesn't have a bank account?,,"Jan 9, 2024 · 2:31 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
70,https://twitter.com/eabl81/status/1744546626843394316#m,"All federal payments including wages, are made via electronic funds transfer unless doing so would present a hardship. So it's difficult to see how he could not have at least 1 bank account. How can someone making that much money claim having an account as a ""hardship?""",,"Jan 9, 2024 · 2:28 AM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1}"
71,https://twitter.com/eabl81/status/1744504097007628793#m,"The same kind I do, I guess 😂",,"Jan 8, 2024 · 11:39 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
72,https://twitter.com/eabl81/status/1744503844531487003#m,That's exactly the way I read it on first glance. I'd say this attempt to influence my thinking was an epic fail! 😁,,"Jan 8, 2024 · 11:38 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 6}"
73,https://twitter.com/RyanShead/status/1744443690368848072#m,"The Brennan Center for Justice published research showing that out of the 23.5 million votes they checked, they only found about 30 cases of potential noncitizen voting that was referred to prosecution.  There is no widespread voter fraud being perpetrated by illegal immigrants in the United States.   It’s a flat out lie.",,"Jan 8, 2024 · 7:39 PM UTC","{'comments': 24, 'retweets': 145, 'quotes': 2, 'likes': 515}"
74,https://twitter.com/RyanShead/status/1744282147412914244#m,FACT:  Illegal immigrants are not permitted to vote in any federal elections.   - President  - Vice President  - Senate - House of Representatives   FACT:  Zero states currently allow Illegal immigrants to vote in state elections.  - Governor - Judges - State Reps  FACT:  Illegal Immigrants can currently vote in 17 municipalities in the entire United States.   …it’s up to the state to ban them from voting using their states constitution.   Don’t let the fear mongering fool you.  There is no massive influx of votes coming from illegal immigrants.  It’s simply not possible under our laws.,,"Jan 8, 2024 · 8:57 AM UTC","{'comments': 625, 'retweets': 2612, 'quotes': 83, 'likes': 9897}"
75,https://twitter.com/JamesTate121/status/1744486791455891478#m,"Stefanik tells of hiding during mob attack on Capitol: ‘It was very, very scary’  https://www.adirondackdailyenterprise.com/news/local-news/2021/01/stefanik-tells-of-hiding-during-mob-attack-on-capitol-it-was-very-very-scary/",,"Jan 8, 2024 · 10:30 PM UTC","{'comments': 1, 'retweets': 24, 'quotes': 4, 'likes': 57}"
76,https://twitter.com/JamesTate121/status/1744415200097259840#m,"Look Elise Stefanik hiding from the tourists and future ""hostages."" On January 6th 2021.",,"Jan 8, 2024 · 5:46 PM UTC","{'comments': 69, 'retweets': 1249, 'quotes': 97, 'likes': 2011}"
77,https://twitter.com/eabl81/status/1744490080428060764#m,I just played this and my two cats went racing through the house with their tails puffed and growling looking for the intruder! One of them even ran right into a piece of furniture 😹,,"Jan 8, 2024 · 10:43 PM UTC","{'comments': 3, 'retweets': 0, 'quotes': 0, 'likes': 34}"
78,https://twitter.com/eabl81/status/1744483456414093679#m,"Once again, Boris Sanchez shows his colleagues how it's done! Ashcroft can offer no evidence whatsoever that Biden was involved in anything illegal but MAGAs think that things should be accepted as true just because they say so.",,"Jan 8, 2024 · 10:17 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}"
79,https://twitter.com/eabl81/status/1744482180267745726#m,"This officer one of yours, @TxDPS? He shouldn't be! He just manhandled a Uvalde Robb Elementary School mother. Is this how you define ""public service?""",,"Jan 8, 2024 · 10:12 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
80,https://twitter.com/HouseJudiciary/status/1744404341262336122#m,"House Republicans do not want a deal on immigration. They just want to play politics.  “Let me tell you, I’m not willing to do too damn much right now to help a Democrat and to help Joe Biden’s approval rating,” Republican Rep. Troy Nehls of Texas said. “I will not help the Democrats try to improve this man’s dismal approval ratings. I’m not going to do it.” https://www.msnbc.com/msnbc/amp/shows/maddow/blog/rcna132223",,"Jan 8, 2024 · 5:02 PM UTC","{'comments': 89, 'retweets': 455, 'quotes': 16, 'likes': 1016}"
81,https://twitter.com/FortuneIguma/status/1744376922421772320#m,Mid-season highlights:u18prem/eabl u19 Osarumwense Fortune Iguma/class of of 2025/6’4 combo guard @PCristofori03 @daveowenbball @RyanCook_ @CoachKirkland @Eurospects @EHoopsScouting @CBB_Europe @KostasKal4 @FedeCiccodicola @JucoAssistance @KevinMoses38 @ethanglowe @UpNextAgency8,,"Jan 8, 2024 · 3:14 PM UTC","{'comments': 0, 'retweets': 5, 'quotes': 0, 'likes': 5}"
82,https://twitter.com/Mollage_/status/1744066467207762046#m,"😂😂 if I was a decision maker at Coca Cola or EABL, I’d just return the old bottles.",,"Jan 7, 2024 · 6:40 PM UTC","{'comments': 1, 'retweets': 3, 'quotes': 0, 'likes': 7}"
83,https://twitter.com/SmillHenrick/status/1744379379738661147#m,After the bottle matapiko imefuata iyo chupa and unfortunately msee wa ndudhi alikuwa anapita.  Jamaa amemwagiwa matapiko leo anaenda home akinuka EABL,,"Jan 8, 2024 · 3:23 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}"
84,https://twitter.com/ThisGuyIsaac_/status/1744378814849777845#m,Wacha nikaone my boy @worldofslimme anunue one bo'or of EABL's finest we strategize for the new year.,,"Jan 8, 2024 · 3:21 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
85,https://twitter.com/jamagithui/status/1744375514138099774#m,"I didn't know that people hate @SafaricomPLC this much and love @EABL_PLC , researchers should have a look at this peculiar behavior 😂😂",,"Jan 8, 2024 · 3:08 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 7}"
86,https://twitter.com/HisaApp/status/1744281991019704637#m,This week's top stock recommendations 📉 by Faida Investment Bank  1.  Equity Group Plc ( $EQTY) - Long term BUY  2.  EABL ( $EABL) - Hold   3. Standard Chartered Bank ( $SCBK) - Hold,,"Jan 8, 2024 · 8:56 AM UTC","{'comments': 0, 'retweets': 4, 'quotes': 0, 'likes': 10}"
87,https://twitter.com/GerttyNjeri/status/1744305604544401685#m,"This week's stock recommendations 📉 in the Kenyan stockmarket     1. Hold East African Breweries Plc (EABL) and Standard Chartered bank   2. Buy Equity, CIC and I&M  3. Sell longhorn",,"Jan 8, 2024 · 10:30 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}"
88,https://twitter.com/FirmbridgeKE/status/1744268260894187925#m,"OOH advertising is tried and true. When done right, it can provide a great boost to your business. Client: EABL Location: Nyeri",,"Jan 8, 2024 · 8:02 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}"
89,https://twitter.com/FinanciallyInc/status/1740655141487821163#m,This week we are joined by @antony_owich founder of BND & Manhattan. He takes us through his time as an EABL Ambassador to the genesis of Nairobi's finest bars. We also get to know how lifestyle shifts contributed to his money mindset🍸  This is his story: https://youtu.be/N4FX591E9Q0,,"Dec 29, 2023 · 8:45 AM UTC","{'comments': 0, 'retweets': 6, 'quotes': 0, 'likes': 13}"
90,https://twitter.com/CherokeeNation/status/1744210227275219436#m,On behalf of the Cherokee Nation congrats to @lily_gladstone for Golden Globes Best Actress for her role in Killers of the Flower Moon.,,"Jan 8, 2024 · 4:11 AM UTC","{'comments': 15, 'retweets': 611, 'quotes': 12, 'likes': 5249}"
91,https://twitter.com/POTUS/status/1744105379921867203#m,"I will continue opposing efforts by Congressional Republicans to shower massive giveaways on the wealthy and big corporations, cut Medicare, Medicaid, and Social Security, and block us from lowering costs for American families.",,"Jan 7, 2024 · 9:15 PM UTC","{'comments': 5868, 'retweets': 4372, 'quotes': 268, 'likes': 19153}"
92,https://twitter.com/briantylercohen/status/1743823271882346576#m,"This you, Vivek?",,"Jan 7, 2024 · 2:34 AM UTC","{'comments': 105, 'retweets': 579, 'quotes': 41, 'likes': 3184}"
93,https://twitter.com/gin_sol/status/1744219692640739805#m,,,"Jan 8, 2024 · 4:49 AM UTC","{'comments': 4, 'retweets': 99, 'quotes': 3, 'likes': 109}"
94,https://twitter.com/platford11/status/1744216537974591536#m,Ewan Platford 3.4gpa 6”4 Shooting Guard/Point Guard 6”6 Wingspan Played in the EABL(🇬🇧) NextUpRecruitment Top 40 recruit  10ppg 5.2rpg 2.5apg 2.2steals 0.5blocks 35% from 3,,"Jan 8, 2024 · 4:36 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 3}"
95,https://twitter.com/NchagaC/status/1744209040261992631#m,Better than EABL,,"Jan 8, 2024 · 4:06 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}"
96,https://twitter.com/Daven3xus_/status/1744159355568574769#m,They are relocating behind embassy and opposite garden city/eabl offices though,,"Jan 8, 2024 · 12:49 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
97,https://twitter.com/MeidasTouch/status/1744107228376801698#m,The problem is not with pro-democracy messaging.  It is with a media that puts a both sides framing on issues of democracy vs. autocracy.,,"Jan 7, 2024 · 9:22 PM UTC","{'comments': 95, 'retweets': 860, 'quotes': 26, 'likes': 2749}"
98,https://twitter.com/eabl81/status/1744149849812140333#m,"By ""good people"" I wasn't actually talking about the leadership of either Palestine (HAMAS) or Israel (Netanyahu). It will take people from within those groups to band together and elevate leaders more interested in peace than grievances.",,"Jan 8, 2024 · 12:11 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}"
99,https://twitter.com/eabl81/status/1744148301916852611#m,"His draft dodging involved false claims of a medical condition he didn't have. In other words, he lied... Imagine that!",,"Jan 8, 2024 · 12:05 AM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 3}"
100,https://twitter.com/eabl81/status/1744147903659262438#m,"Not only did we all hear that, but lo and behold it's documented! Something these guys rarely worry about.",,"Jan 8, 2024 · 12:03 AM UTC","{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 2}"
101,https://twitter.com/eabl81/status/1744147706988412948#m,"Oh, you heard? From Russia? If you're going to try to tarnish the reputation of a true hero who isn't even here to defend himself, you better be able to offer up some facts and evidence... This is disgusting!",,"Jan 8, 2024 · 12:03 AM UTC","{'comments': 1, 'retweets': 1, 'quotes': 0, 'likes': 14}"
102,https://twitter.com/eabl81/status/1744147284265513260#m,Any one who supports TFG and claims to be a patriot who supports our military is nothing but a hypocrite!,,"Jan 8, 2024 · 12:01 AM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
103,https://twitter.com/eabl81/status/1744146087903117448#m,"Both groups can trace a long, ancient history in the region. Repeating claims over and over accomplishes nothing. What's needed is for good people to try and work out a path forward that doesn't repeat centuries of fighting and the deaths of innocents on both sides.",,"Jan 7, 2024 · 11:56 PM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}"
104,https://twitter.com/debbie156/status/1744111854967017574#m,#ProudBlue #ResistanceWomen  Ladies-Democrats want you to have bodily autonomy & privacy to make whatever healthcare decisions you deem necessary without gov’t interference.   MAGA Extremists want to control every aspect of your lives-including what happens in your bedroom or physicians’ office.  #FireTheGOP,,"Jan 7, 2024 · 9:40 PM UTC","{'comments': 5, 'retweets': 66, 'quotes': 1, 'likes': 86}"
105,https://twitter.com/Slaydog87/status/1730258944579236302#m,"The ONLY reason Trump ""appeared"" to have a good economy was because he inherited a great economy from Obama. He then failed in his response to COVID-19 and bam, economy collapsed. Biden is fixing it. It's what dems do, they fix GOPs fuck ups all the time.",,"Nov 30, 2023 · 4:14 PM UTC","{'comments': 1, 'retweets': 5, 'quotes': 0, 'likes': 26}"
106,https://twitter.com/eabl81/status/1744142265042559274#m,What part of not interested…,,"Jan 7, 2024 · 11:41 PM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}"
107,https://twitter.com/eabl81/status/1744132519141019886#m,"Gee, here I thought we were talking about voting. I'm not interested in discussing xenophobia with you.",,"Jan 7, 2024 · 11:02 PM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}"
108,https://twitter.com/eabl81/status/1744131390239822022#m,It's federal law. That was a government site I posted. They may (or may not - I don't know) allow it for purely local elections.,,"Jan 7, 2024 · 10:58 PM UTC","{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0}"
109,https://twitter.com/ryanjreilly/status/1679964619840864256#m,"Six years in prison for #uncagedbird Audrey Southard-Rumsey who repeatedly attacked officers, was defiant in court (at on point she was waving herself with a paper fan) and earned a terrorism sentencing enhancement from Judge Amit Mehta.",,"Jul 14, 2023 · 9:22 PM UTC","{'comments': 299, 'retweets': 741, 'quotes': 67, 'likes': 4685}"
110,https://twitter.com/TrumpsTaxes/status/1742961090403635474#m,"🚨SPECIAL ELECTION - VIRGINIA STATE HOUSE DISTRICT 48🚨  Democrat - Melody Cartwright (@meowmelly)  Election Date - 🗓️THIS TUESDAY, JANUARY 9TH🗓️  Area - Southern VA, North and West of Danville (Martinsville, Gretna, Buford, Rondo and other towns; see map below)",,"Jan 4, 2024 · 5:28 PM UTC","{'comments': 0, 'retweets': 53, 'quotes': 0, 'likes': 59}"
111,https://twitter.com/eabl81/status/1744123768556196261#m,Hi Grandpa! 💙 #BidenHarris,,"Jan 7, 2024 · 10:28 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}"
112,https://twitter.com/eabl81/status/1744122803950096444#m,Already is law in the US. Only citizens can vote in state and federal US elections. https://www.usa.gov/who-can-vote,,"Jan 7, 2024 · 10:24 PM UTC","{'comments': 3, 'retweets': 0, 'quotes': 0, 'likes': 0}"
113,https://twitter.com/eabl81/status/1744101148997595284#m,"Read the room, lady. You’ll find no sympathy from loyal, law-abiding Americans for your actions.",,"Jan 7, 2024 · 8:58 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}"
114,https://twitter.com/MeidasTouch/status/1744051905435701450#m,The mainstream media continues to fail the American people. This is journalistic malpractice. Shameful.,,"Jan 7, 2024 · 5:42 PM UTC","{'comments': 523, 'retweets': 2909, 'quotes': 174, 'likes': 11962}"
115,https://twitter.com/DennisLBaker/status/1743737548722028780#m,"On January 6, 2021, MAGA Rep. Kevin Hern was one of the 147 Republicans who voted to overturn the 2020 presidential election.  Now, Hern is among the 117 of them running for reelection in 2024.  I’m running for Congress to defeat Hern and ensure he answers for breaking his oath.",,"Jan 6, 2024 · 8:53 PM UTC","{'comments': 28, 'retweets': 861, 'quotes': 20, 'likes': 1661}"
116,https://twitter.com/eabl81/status/1744081647442825362#m,Just say no to bots,,"Jan 7, 2024 · 7:40 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
117,https://twitter.com/Gitahi_D/status/1744050109837418546#m,"Dumb butt, that's a tasting complex by EABL for new products, tumia hakiri vire inafaa.",,"Jan 7, 2024 · 5:35 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
118,https://twitter.com/eabl2h9h22/status/1744044066541818287#m,ชอบมากๆๆ555,,"Jan 7, 2024 · 5:11 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
119,https://twitter.com/eabl2h9h22/status/1744042902102421820#m,สมัครได้ไหมครีบ,,"Jan 7, 2024 · 5:06 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
120,https://twitter.com/eabl2h9h22/status/1744041211013497060#m,100คะแนะเต็ม555,,"Jan 7, 2024 · 5:00 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 2}"
121,https://twitter.com/eabl2h9h22/status/1744038010293993960#m,ตอบแชทเราหน่อย,,"Jan 7, 2024 · 4:47 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
122,https://twitter.com/eabl2h9h22/status/1744028776869347421#m,ราคาหน่อยครับ,,"Jan 7, 2024 · 4:10 PM UTC","{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}"
