,News Source,cleaned_text,sentiment
68,MensXP.com,4 scotchbased cocktails you need to try this weekend and every weekend after,Neutral
69,Ghana Business News,ggbl introduces black and white scotch whisky to the ghanaian market,Positive
70,FoodBev.com,diageo trials lowcarbon glass whisky bottle,Neutral
71,Lifestyle Asia India,14 best whiskies in india to add to your home bar this holiday season,Positive
72,The Spirits Business,diageo to roll out scotch bottling ops in africa,Neutral
73,Scotchwhisky.com,six reasons why global scotch is recovering  scotch whisky,Neutral
74,Scotchwhisky.com,whisky heroes james buchanan  scotch whisky,Neutral
75,Lifestyle Asia India,budget blends whisky brands under rs 1000 for your home bar collection,Neutral
76,VinePair,johnnie walker vs dewars scotch explained the differences,Neutral
77,Scotchwhisky.com,top 10 bestselling scotch whiskies  scotch whisky,Positive
78,Slurrp,6 exciting cocktails to amp up your celebrations,Positive
79,Good Housekeeping uk,mr blacks new liqueur is a musthave for your bar cart,Positive
80,GQ India,5 best whisky bottles under rs 2000 for when you are drinking on a budget,Positive
81,Scotchwhisky.com,douglas laing launches xop the black series  scotch whisky,Neutral
83,The Spirits Business,premium spirits remain strong in latin america,Positive
84,Business Today,raising the bar,Neutral
87,Deccan Chronicle,ap rationalises liquor price by levying taxes,Neutral
88,The Spirits Business,scotch whisky brand champion 2021 white horse,Neutral
89,The Spirits Business,the top 10 bestselling scotch brands,Positive
90,The Spirits Business,the worlds bestselling scotch whiskies,Neutral
91,The New York Times,yes africanamericans drink bourbon youd never know it from the marketing published 2019,Neutral
92,The Drinks Business,keira knightley stars in latest black dog whisky ad campaign,Positive
93,Maclean's,big scotch is going after this canadian distiller for naming his whisky after himself,Neutral
95,VinePair,the 20 most popular scotch whisky brands in the world for 2021,Positive
96,Business Insider India,4 exclusive whisky cocktails that you must try on world whisky day,Neutral
97,The Spruce Eats,rusty nail scotch and drambuie cocktail recipe,Neutral
98,The Spirits Business,the top 10 bestselling scotch brands  page 11 of 11,Positive
99,MintGenie,united spirits acquisitions and new launches to lead future growth,Positive
100,Scottish Field,worlds largest scotch whisky packaging site is 40,Neutral
101,The Spirits Business,top 10 bestselling scotch whisky brands  page 11 of 11,Positive
102,Food & Wine,mariah carey announces her own irish cream brand,Positive
103,InsideHook,this intimate new speakeasy has new yorks best antique whiskey collection,Positive
104,Daily Record,the 10 bestselling scotch whiskies worldwide last year,Neutral
105,POPSUGAR,shop the swimsuits from glass onion a knives out mystery,Neutral
106,Whiskey Riff,rare white grizzly bear spotted near banff national park,Positive
107,Guwahati Plus,heres the revised alcohol price list for assam,Neutral
108,The Atlantic,jack daniels secret the history of the worlds most famous whiskey,Positive
109,Guitar World,the true origins and evolution of eddie van halens legendary frankenstein guitar,Positive
110,ReaderMaster,kerala liquor price list 202324 rum whiskey vodka  beer rate list,Neutral
111,ReaderMaster,chandigarh liquor price list 2023 pdf  vodka wine whiskey beer  rum rate list,Neutral
112,ReaderMaster,west bengal liquor price list 202324 pdf  beer rum whisky wine vodka rate,Neutral
113,ReaderMaster,goa liquor price list 202324 pdf  excise alcohol wine beer rate list,Neutral
114,Diageo,captain morgan spiced gold 00  the science behind the liquid,Negative
115,Capital FM Kenya,hitmaker mejja lands a lucrative deal with captain morgan,Neutral
116,TBR Football,tottenham now want to sign 43m premier league captain whos impressed james maddison,Positive
117,Newswire,sports illustrated the party presented by captain morgan returns for big game weekend 2024 in las vegas,Negative
118,MediaPost Communications,captain morgan sponsors search for nfl fan of the year 08022023,Neutral
119,The Music Essentials,sports illustrated the party presented by captain morgan returns for big game weekend 2024 in las vegas,Negative
120,BellaNaija,global afrobeats sensation yemi alade provides the soundtrack for captain morgans new campaign spice on,Positive
121,Beverage Industry,captain morgan enters alcoholfree market,Neutral
122,abc7amarillo.com,passenger doesnt remember punching flight attendant forcing plane to divert admits drinking captain morgan before flying,Positive
123,Consumer Goods Technology,diageo transforming captain morgan and smirnoff distribution with circular packaging strategy,Neutral
124,Daily Mail,nuno espirito santo wants captain morgan gibbswhite to use his special abilities to pull nottingham forest,Positive
125,FoodBev.com,captain morgan enters alcoholfree market with spiced gold 00,Neutral
126,PR Newswire,captain morgan enters the alcohol free market with the launch of captain morgan spiced ,Positive
127,just-drinks.com,diageo takes captain morgan into alcoholfree,Neutral
128,Women's Health UK,captain morgan announces release of alcoholfree spiced rum,Neutral
129,Diageo,celebrating moderation with captain morgan,Neutral
130,MobileMarketing Magazine,captain morgan launches why you whying campaign to support alcoholfree rum launch,Neutral
131,The Spirits Business,captain morgan spiced gold goes alcoholfree,Neutral
132,FoodBev.com,captain morgan unveils new black spiced rum,Negative
133,Diageo,bree runway slows down iconic track rhythm of the night for global captain morgan responsible drinking campaign,Positive
134,KOAA News 5,changes could be coming to captain morgans bike trail in north cheyenne canyon,Neutral
135,MarComm News,captain morgan launches first ever panafrican campaign spice on africa as new pack design launches across the ,Positive
136,Vallarta Lifestyles,garderobe spole modstander captain morgan limited edition kiks vidner aflede,Negative
137,The Spirits Business,captain morgan reveals panafrican campaign,Neutral
138,Bizcommunity.com,behindthecampaign captain morgan launches spice on africa its first ever panafrican campaign,Positive
139,Ghafla!,mejjas tumber lands him lucrative deal with alcohol beverage,Positive
140,Talking Retail,captain morgan unveils why you whying campaign,Neutral
141,Packaging Digest,yo ho ho and a redesigned bottle of rum  yo ho ho and a redesigned bottle of rum,Neutral
142,Beverage Industry,captain morgan releases cocktail kit from battle of the badtenders contest,Neutral
143,ESM – European Supermarket Magazine,captain morgan launches alcoholfree beverage  esm magazine,Neutral
144,BeverageDaily.com,new beverage launches from alcoholfree rum to sparkling water,Positive
145,Trend Hunter,nonalcoholic dark rums,Negative
146,Adweek,captain morgans funny first 00 booze ad why you whying,Positive
147,Specialty Food Association,captain morgan enters alcoholfree market  news,Neutral
148,Sports Illustrated,want epic nfl prizes find the clues and follow the captain,Positive
149,Reuters,rugby is in the blood for wales cocaptain morgan,Neutral
150,Pulse Nigeria,yemi alade provides soundtrack for captain morgans new campaign spice on,Positive
151,just-drinks.com,diageo tweaks captain morgan recipe,Neutral
152,Food Tech Biz,captain morgan enters alcohol free market with launch of captain morgan spiced gold 00,Positive
153,PR Newswire,captain morgan drops clues for nfl fans 21 to follow the captain and adventure their way through the nfl ,Neutral
154,VinePair,captain morgan will soon taste different,Neutral
155,Nairametrics,cocktail culture exploring the magic of captain morgan at lcw 2023,Positive
156,MediaPost Communications,captain morgan sets shore for alcoholfree market 09062023,Neutral
157,DStv,day 61 housemates sail through captain morgan task  bbnaija,Neutral
158,MorningAdvertiser.co.uk,captain morgan launches alcohol free spiced gold variant,Positive
159,DancehallMag,shenseea brings the tropics to nyc for captain morgan vita cocosee photos,Neutral
160,The Grocer,captain morgan enters alcoholfree with spiced gold 00 variant,Neutral
161,Namnews,captain morgan enters alcoholfree market,Neutral
162,GhanaWeb,there is a new captain in town as captain morgan officially enters the ghanaian market,Positive
163,Diageo,captain morgan invites people to spice on as it launches new global campaign,Positive
164,DRAM Scotland,captain morgan ask why,Neutral
165,MorningAdvertiser.co.uk,captain morgan releases new black spiced rum variant,Negative
166,AS USA,who was captain morgan why is the brand of rum named after him,Neutral
167,Trend Hunter,boldly black spiced rums,Negative
168,The Source Magazine,victor cruz and captain morgan host an unforgettable house party in new york city  the source,Positive
169,Convenience Store,captain morgan spiced gold 00 unveiled by diageo  product news,Neutral
170,Convenience Store,captain morgan to add black spiced rum to range,Negative
171,Mashed,captain morgan spices up football season with a treasure hunt,Neutral
172,VinePair,watch florida man steals captain morgan statue from liquor store,Neutral
173,Talking Retail,captain morgan goes alcoholfree,Neutral
174,PR Newswire,no passport needed vita coco spiked with captain morgan is bringing the tropics to us cities all summer long ,Negative
175,Yahoo Entertainment,action bronson partners with captain morgan for epic rivalry watch party,Positive
176,Yahoo Entertainment,shenseea talks vita cococaptain morgan campaign and caribbean pride my dream is coming true,Positive
177,WION,winning cwc 23 in india would be bigger achievement for england than 2019 title says excaptain morgan,Positive
178,DRAM Scotland,captain morgan enters alcohol free market,Positive
179,Bar Magazine,developing premium bar excellence  captain morgan unveils new premium offering,Positive
180,Media Update,captain morgan launches first ever panafrican campaign,Positive
181,Namnews,captain morgan unveils new premium offering,Positive
182,MediaPost Communications,captain morgan drops clues for nfl fans to follow the captain to big prizes 09152023,Neutral
183,News-Press,arrrrg scallywags who stole captain morgan statue from florida liquor store have social media buzzing,Positive
184,DRAM Scotland,new premium offering from captain morgans,Positive
185,PR Newswire,captain morgan original spiced rum levels up the liquid  look now made even better with ,Positive
186,The Knockturnal,captain morgan  victor cruz host an epic friendsgiving in new york city,Positive
187,Talking Retail,new captain morgan black spiced rum,Negative
188,Grocery Trader,captain morgan enters alcohol free market with launch of captain morgan spiced gold 00,Positive
189,Adweek,captain morgan flips the script on responsible drinking psas,Positive
190,Villages-News,dui suspect vomits in squad car after drinking captain morgan and coke,Neutral
191,BevNET.com,captain morgan drops clues for nfl fans 21 to adventure their way through the nfl season,Neutral
192,BBC,cricket world cup 2023 england a sinking ship and need to take responsibility says eoin morgan,Neutral
193,The Mirror,captain morgans new black spiced gives kraken a run for its money,Negative
194,Miami Herald,lifesize captain morgan statue vanishes from florida store and everybody has jokes,Neutral
195,Paste Magazine,captain morgan rebrands with new spiced rum recipe real vanilla,Positive
196,BBC,jac morgan destiny calls for new wales captain,Positive
197,Rethnea.gr,captain morgan hawaiian shirt tropical palm leaves beach lovers gift,Neutral
198,Tasting Table,captain morgan original spiced rum the ultimate bottle guide,Positive
199,Talking Retail,captain morgan spices up its range with new pack design,Positive
200,Sports Illustrated,dallas cowboys fan of the year contest with captain morgan are you spicy,Neutral
201,Pulse Nigeria,captain morgans funfilled captains link up steals the show at lcw 2023,Neutral
202,The Knockturnal,inside sean pauls exclusive performance celebrating vita coco spiked with captain morgan,Neutral
203,InsideHook,stop trying to make rum and pepsi happen,Neutral
204,Metro.co.uk,couple find empty bottles of rum pouring out the walls of their home,Negative
205,Creativebrief,bite trend  captain morgan turns to meme for alcoholfree launch,Neutral
206,Drinks Retailing News,drinks retailing,Neutral
207,London Post,new captain morgan spiced gold 00 is the alcoholfree option fans have been waiting for,Positive
208,Bloomberg,this starbucks vp turned caribbean rum distiller is the anticaptain morgan,Neutral
209,Sports Illustrated,bills mafia can you win buffalo nfl fan of the year with captain morgan,Positive
210,Nashville SC,nashville soccer club to host official fan appreciation night on decision day saturday night presented by captain ,Neutral
211,Trend Hunter,canned rum daiquiri cocktails,Neutral
212,MultiVu,captain morgan original spiced rum levels up the liquid  look now made even better with ,Positive
213,Grocery Trader,captain morgan unveils new premium offering captain morgan black spiced,Positive
214,KahawaTungu,authorities seize 320l and 60 cartons of counterfeit alcohol in muranga county,Neutral
215,The Standard,yes please the limitededition chrome gin is the perfect gift this christmas,Positive
216,PesaCheck,false eabl did not stop the production of chrome gin in 2021,Neutral
217,The Star Kenya ,kbl launches new gin  nairobi,Positive
218,Capital FM Kenya,fact check  claims eabls udv stopped gin chrome production false,Negative
219,Business Wire,understanding alcoholic drinks market dynamics in kenya 2019  eabl controls about 90 of the kenyan beer ,Negative
220,VinePair,the differences between vodka and gin explained,Neutral
221,GhettoRadio 89.5 FM,ghetto radio eabl bring nakuru to a standstill,Neutral
222,HapaKenya,5 gin cocktails that you can make at home  hapakenya,Neutral
223,Town & Country,7 health benefits of vodka  drinking vodka is good for your health,Positive
224,Nairobi Wire,full price list as eabl hikes alcohol prices,Positive
225,The Star Kenya ,kra dci impound sh4 million counterfeit alcohol in nakuru,Neutral
226,The Guardian,does alcohol really make you better in bed,Positive
227,Business Insider India,here are the 10 types of alcoholic drinks,Negative
228,HapaKenya,eabl launches 2nd phase of dandia bonus na kaquarter promotion  hapakenya,Neutral
229,Eater,how gin came to be known as the big bad wolf of the spirits world,Negative
230,The Standard,kenyan celebrities who are ambassadors for alcoholic brands,Negative
231,Diabetes.co.uk,diabetes and alcohol  effects of drinking alcohol,Neutral
232,Bennington Banner,shaken not stirred vodka or gin olives or lemon twist local experts explain the classic martini,Positive
233,CBS News,ryan reynolds aviation gin sold to diageo for up to 610 million,Neutral
234,War On The Rocks,ginbrew vodkas saving grace,Neutral
235,Sky News,tax on wines and spirits increases from today but some good news if youre going to the pub for a pint,Positive
236,Business Insider,things you can do with vodka,Neutral
237,The Drinks Report,avalon group releases three new irish spirits,Positive
238,Sky News,alcohol duty shakeup tax on wines and spirits increases but price of pint goes down,Negative
239,Town & Country,16 best vodka brands in 2024  top sipping vodka bottles under 100,Positive
240,Winnipeg Free Press,jun 2022 madeinmanitoba alcohol business brings home award,Neutral
241,Thrillist,15 unexpected ways to use alcohol around the house,Positive
242,The Spruce Eats,french 75 cocktail recipe,Neutral
243,simcoe.com,secret to awardwinning vodka gin is fresh spring water from elmvale aquifer,Negative
244,Albuquerque Journal,spirited venture local bar restaurant owner launches nikle vodka and gin,Positive
245,IOL,south african vodkas and gins you should try right now,Positive
246,Diet Doctor,best and worst low carb alcohol drinks  visual guide  diet doctor,Neutral
247,Winnipeg Free Press,feb 2018 capital k cleans up at distillery awards,Neutral
248,Diabetes.co.uk,alcohol and blood sugar  carb content of beer wine spirits,Neutral
249,Forward,a very forward passover guide to all things wine and booze,Positive
250,Albuquerque Journal,one distillery strives to craft spirits with natural ingredients while helping support local firefighters,Positive
251,Monterey County Weekly,burning question vermouth in a martiniyes or no,Neutral
252,Community News,whats in a gin a look at hopewells sourland mountain spirits,Neutral
253,The East African,eabl cuts 168 jobs amid profit decline,Neutral
254,Nation,eabl shakes up craft beer market with launch of new microbrewery,Positive
255,Kenyan Wallstreet,eabl under probe over sale of additional shares to uks diageo plc,Neutral
256,AfricanFinancials,east african breweries plc eabltz 2023 abridged report,Positive
257,Citizen Digital,eabl defends ksh22b sale of majority shareholding to diageo,Neutral
258,Business Daily,eabl gives female employees 26week pregnancy loss leave,Neutral
259,The East African,east african breweries stock declines to a 52week low,Neutral
260,Kenyan Wallstreet,eabl reports a 21 drop in net earnings to ksh 123b,Positive
261,Nation,president rutos name dragged into diageoeabl deal,Negative
262,AfricanFinancials,east african breweries plc eablug 2023 annual report,Neutral
263,Kenyan Wallstreet,eabl picks namwakira as new company secretary,Positive
264,Business Daily,eabl bosses get sh155m diageo shares,Negative
265,Business Daily,eabl halves dividend as profit falls to sh12bn,Negative
266,Business Daily,eabl defends diageos sh22bn shares purchase in senate,Neutral
267,AfricanFinancials,east african breweries plc eablke 2023 abridged report,Positive
268,AfricanFinancials,east african breweries kenya declares a final dividend of 175 kes per share,Positive
269,Business Daily,farmers in kirinyaga reap from eabl sorghum deal,Neutral
270,Diageo,eabl met with king charles iii on his visit to kenya,Neutral
271,Business Daily,jane karuku eabl managing director on navigating crisis after crisis for the alcohol industry,Neutral
272,Business Daily,eabl staff shares drop by sh340m,Neutral
273,Business Daily,eabl takes sh14bn loans for capital projects,Neutral
274,Business Daily,advisers earn sh733m in diageoeabl deal,Neutral
275,Business Daily,eabl bucks trend with return to physical agm,Neutral
276,Nation,eabl to give its female workers who miscarry 6 months of paid leave,Neutral
277,Kenya Broadcasting Corporation,headwinds in kenya drag down eabl net profit to ksh 12b,Negative
278,Business Daily,eabl import bill shoots up by sh2 billion on plunging kenya shilling,Neutral
279,The East African,eabl diageo directors face 300m fine in supreme court suit,Positive
280,Business Daily,eabl share price falls 68pc on dividend cut profit drop,Negative
281,The Star Kenya ,eabls net profit for 2022 drops 21 to sh12 billion,Negative
282,Citizen Digital,eabl reports reduction of carbon emissions by 55 percent,Neutral
283,The Standard,eabl fullyear profit drops by sh3b as struggling kenyans drink less,Negative
284,BUSINESS TODAY KENYA,kenyas senate risks losing face by probing eabl share sale,Neutral
285,Business Daily,east africa breweries set for sh11bn tax refund,Neutral
286,Business Daily,eabl bosses fight contempt charges over beer distribution,Neutral
287,The Standard,regulator says eabl diageo sh227b shares deal was clean,Positive
288,Capital FM Kenya,eabl net profit drops 12pc to sh12 billion,Neutral
289,The Star Kenya ,supreme court dismisses bia toshas sh39bn contempt case against eabl,Neutral
290,Business Daily,diageo succeeds in raising eabl stake to 65 percent,Positive
291,Capital FM Kenya,eabl cuts carbon emissions by 55pc  capital business,Neutral
292,Business Daily,diageo sh227bn eabl offer oversubscribed in first phase,Positive
293,Business Daily,eabl investors fail to sell 25m shares to diageo plc,Negative
294,AfricanFinancials,the society 2030 spirit of progress  east african breweries plc focused on creating a more inclusive and ,Positive
295,Tuko.co.ke ,eabl cuts over 160 jobs after net profit dropped by 21 annual report shows,Neutral
296,The Africa Report,east african breweries averts forex losses in volatile kenyan market,Neutral
297,The Standard,drink to that eabl boss cfo toast to staggering sh1869m pay,Neutral
298,Business Daily,supreme court declines to review contempt case against eabl bosses,Neutral
299,The East African,rise in excise duty drains eabl sales flattens profit,Negative
300,Pulsesports Kenya,kru seals partnership worth millions with eabl ahead of safari sevens tournament,Positive
301,Business Daily,early bidders to get priority as diageo buys eabl shares,Positive
302,The Star Kenya ,beer maker eabl industry suffers on rise of illicit alcohol,Negative
303,Reuters,diageo gets approval to buy 1497 stake in kenyas eabl,Neutral
304,Business Daily,eabl loses sh24bn senator keg tax relief in three years,Negative
305,The Star Kenya ,eabl appoints john musunga as nonexecutive director in changes,Neutral
306,HapaKenya,eabl reduces carbon emissions by 55 according to report  hapakenya,Neutral
307,Nation,drinking nation but wheres the cash  nation,Neutral
308,Business Daily,diageo kicks off sh227bn eabl stake raise,Neutral
309,Capital FM Kenya,safaricom unveils eabls the bar vivos shell apps on mpesa super app,Positive
310,Tuko.co.ke ,eabl gives female workers 26week paid leave for pregnancy loss,Neutral
311,AfricanFinancials,east african breweries declares total dividend of kshs 550 per share despite regional economic slowdown,Positive
312,Business Daily,diageo ready to access additional eabl shares in open market,Positive
313,People Daily,eabl taps muranga farmers in sorghum deal,Neutral
314,The Star Kenya ,kbl unveils sh12bn microbrewery at ruaraka  nairobi,Neutral
315,The Paypers,safaricom partners with eabl and vivo  thepaypers,Positive
316,Business Daily,eabl profit flat at sh87bn as costs rise,Negative
317,Citizen Digital,former eabl digitribe head waithera kabiru to lead newlylaunched diageo africa digital hub,Neutral
318,Nation,kenya beer festival extends to uganda tanzania as oktobafest fans shrug off economic gloom,Positive
319,AfricanFinancials,east african breweries plc eablke hy2023 interim report,Neutral
320,The Standard,eabl halfyear profit drops to sh87b as struggling kenyans drink less,Negative
321,The Star Kenya ,why parliament speakers should review house committee powers  ahmednasir,Neutral
322,AfricanFinancials,east african breweries plc eablug hy2023 interim report,Neutral
323,Capital FM Kenya,eabl half year profit remains flat at sh87bn,Negative
324,The Star Kenya ,eabl to promote inclusivity and diversity through sports  wamakau,Neutral
325,Capital FM Kenya,high inflation taxes depress eabls sales in kenya,Positive
326,Capital FM Kenya,eabls soiree boosts onlinepartying  capital business,Neutral
327,The Star Kenya ,eabl maintains dividend as profit remains flat at sh87bn,Negative
328,Capital FM Kenya,kenya breweries limited unveils its a wrap festive campaign  capital lifestyle,Positive
329,Capital FM Kenya,kenya breweries asks govt to review excise taxes to combat illicit alcohol,Neutral
330,Capital FM Kenya,kbl opens sh12 billion microbrewery plant for innovation experimentation,Neutral
331,Capital FM Kenya,mark ocitti appointed kbl managing director  capital business,Neutral
332,Citizen Digital,kenya breweries limited urges govt to review exercise tax on spirits to combat illicit brew,Neutral
333,The Star Kenya ,kenya breweries and muranga sign deal for sorghum farming,Neutral
334,Business Daily,kbl wants top executives spared in contempt suit,Positive
335,Capital FM Kenya,kbl to train 60000 farmers on sustainable agricultural practices,Positive
336,Business Daily,local raw material sourcing spares eabl from russia shocks,Negative
337,Kenya News Agency,kbl plans to train 60000 farmers to cope with climate change  kenya news agency,Positive
338,Tuko.co.ke ,supreme court dismisses bia toshas case seeking ksh 39b fine from kenya breweries,Positive
339,Business Daily,mark ocitti ongom a sigh of relief for new kbl boss after president ruto spares beer new taxes,Positive
340,Business Daily,kbl udv barred from ending beer distributors contracts,Neutral
341,Business Daily,eabl to stop use of kenya power in sh22bn plan,Neutral
342,Business Daily,eabl to raise beer price if tax passed,Neutral
343,Kenya News Agency,sorghumfarming picks in mwea  kenya news agency,Positive
344,Business Daily,eabl sh11bn bond oversubscribed three times,Neutral
345,The Standard,court bars kra from pursuing kenya breweries in an sh8b tax revisit battle,Neutral
346,The Star Kenya ,high taxes recipe for rise in illicit trade low revenues  eabl,Positive
347,Pulse Live Kenya,high spirits taxes driving kenyans to illicit alcohol,Positive
348,Capital FM Kenya,eabl to construct sh1billion microbrewery  capital business,Neutral
349,Business Daily,two more sue kbl and udv fearing supply contract termination,Positive
350,Basketball England,academy recap curtain falls on eabl weabl for 2023  week ten,Neutral
351,Business Daily,eabl pays sh725 more in final dividend after doubling net profit,Positive
352,Kenya Broadcasting Corporation,kenyas oktobafest set to go regional as the 2023 edition launches,Neutral
353,Nairobi News,how celebs and infuencers celebrated international gin  tonic day,Positive
354,Kenya Broadcasting Corporation,one arrested as police intercept counterfeit liquor in muranga,Neutral
355,HapaKenya,gilbeys mixed berries hosts matched pinknic party  hapakenya,Neutral
356,Capital FM Kenya,trendy  fabulous stunning looks  gilbeys mixed berries flavour launch  capital lifestyle,Positive
357,Nairobi Wire,eabl releases statement after viral video of woman chugging bottle of gilbeys,Neutral
358,Mwakilishi.com,eabl releases statement after video of bingedrinking woman goes viral,Neutral
359,The Spirits Business,the worlds biggestselling gin brands,Neutral
360,Kenyans.co.ke,alcohol lovers hit hard as prices hike again,Negative
361,Daily Meal,the most affordable gins you should consider buying,Positive
362,Daily Mail,a very toxic cocktail at the heart of a famous gin dynasty,Positive
363,Paste Magazine,10 of the best bottom shelf cheap gins blindtasted and ranked,Positive
364,Express,heir to gilbeys gin fortune appears in court charged with assaulting his mother,Neutral
365,Nairobi Wire,full price list as eabl hikes alcohol prices,Positive
366,Monitor,gidudu finds money in a bar  monitor,Neutral
367,POPSUGAR,who is james gilbey,Neutral
368,The Drinks Business,gilbeys gin heir has assault charge overturned,Neutral
369,ABS-CBN News,this day in pba history crispa wins last pba title by beating gilbeys gin,Positive
370,UPROXX,8 popular london dry gins blind tasted and ranked,Positive
371,Daily Mail,gilbey gin heir allegedly attacked his mother,Negative
372,Daily Mail,gin heir 69 who was accused of throwing his mother to the floor has conviction quashed,Neutral
373,ESPN Australia,a look back at ginebras 40 years in the pba,Neutral
374,Bishop's Stortford Independent,stortfords gilbeys gin magnate subject of history groups talk,Negative
375,Daily Record,gin heir toff who allegedly battered 95yearold mum in violent attack has conviction quashed,Negative
376,Sports Interactive Network Philippines,two former ginebra players recall teams first pba title on jawos 75th birthday,Positive
377,Irish Post,baileys the irish cream liqueur that originated in essex,Neutral
378,Sports Interactive Network Philippines,this former beauty queen is ginebras firstever muse in the pba,Neutral
